,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
2795,24285407,2022-11-17 14:28:59.843347+00:00,,t,40,72342781208706271,648518346501288024,72342781208705821,648518346494933170,[  9669 111001   2572],[  9677 110975   2572]
2796,24285462,2022-11-17 14:28:59.843347+00:00,,t,22,72342781208841057,648518346489054813,72342781208834397,648518346486753761,[  9719 110633   2598],[  9739 110657   2598]
2797,20640123,2022-11-17 14:28:59.843347+00:00,,t,52,72483518764373935,648518346472653065,72483518764383874,648518346477981653,[ 12405 112379   2756],[ 12403 112345   2758]
2798,42731287,2022-11-17 14:28:59.843347+00:00,,t,22,72342712422348966,648518346501581144,72342712422337143,648518346480666625,[  9215 110077   2513],[  9185 110057   2514]
2799,42731297,2022-11-17 14:28:59.843347+00:00,,t,29,72342712422360807,648518346501581144,72342712422367963,648518346507233352,[  9195 110073   2525],[  9197 110037   2525]
2800,10206321,2022-11-17 14:28:59.843347+00:00,,t,29,72553681551529031,648518346501581144,72553681551524099,648518346507233352,[ 14461 104835   3194],[ 14463 104869   3194]
2801,10206304,2022-11-17 14:28:59.843347+00:00,,t,12,72553681551529018,648518346501581144,72553681551547814,648518346514448583,[ 14391 104861   3197],[ 14383 104893   3199]
2802,20552672,2022-11-17 14:28:59.843347+00:00,,t,49,72342712489405558,648518346497880310,72342712489398865,648518346480666625,[  8837 109983   2617],[  8801 109989   2617]
2803,20552519,2022-11-17 14:28:59.843347+00:00,,t,31,72342712489425720,648518346488893518,72342712489423498,648518346480666625,[  8591 109903   2629],[  8617 109885   2629]
2804,20552558,2022-11-17 14:28:59.843347+00:00,,t,18,72342712489461848,648518346488893518,72342712489459256,648518346480666625,[  8635 109899   2643],[  8663 109889   2643]
2805,20552412,2022-11-17 14:28:59.843347+00:00,,t,15,72342712489403431,648518346488893518,72342712489385362,648518346507233352,[  8453 110039   2615],[  8471 110051   2614]
2806,24285626,2022-11-17 14:28:59.843347+00:00,,t,19,72342781208811413,648518346501288024,72342781208803991,648518346494933170,[  9921 110847   2589],[  9911 110871   2589]
2808,24285880,2022-11-17 14:28:59.843347+00:00,,t,56,72342781208571595,648518346498002535,72342781208788273,648518346501288024,[ 10225 110773   2577],[ 10199 110769   2579]
2811,24285917,2022-11-17 14:28:59.843347+00:00,,t,23,72413149952989781,648518346501581144,72342781208806382,648518346501288024,[ 10251 110683   2592],[ 10231 110715   2592]
2815,20640162,2022-11-17 14:28:59.843347+00:00,,t,22,72483518764318191,648518346472653065,72483518764320794,648518346486653999,[ 12457 112581   2739],[ 12427 112593   2738]
2817,20667657,2022-11-17 14:28:59.843347+00:00,,t,19,73469368512191384,648518346489805273,73469368578675263,648518346502655814,[ 41091 132377   3081],[ 41057 132387   3082]
2818,20667683,2022-11-17 14:28:59.843347+00:00,,t,14,73469368578760172,648518346489805273,73469368578735709,648518346502655814,[ 41111 132343   3086],[ 41089 132329   3087]
