,id,created,superceded_id,valid,score,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,pre_pt_position,post_pt_position
25033,18184789,2022-11-17 14:28:59.843347+00:00,,t,37,73046400065440336,648518346499840723,73046400065435445,648518346502508711,[ 28851 108933   2876],[ 28817 108921   2877]
25034,18184978,2022-11-17 14:28:59.843347+00:00,,t,29,73046331346075116,648518346486545841,73046400065583766,648518346482497172,[ 29143 108533   2934],[ 29135 108567   2934]
25036,18184897,2022-11-17 14:28:59.843347+00:00,,t,33,73046400065450608,648518346531363354,73046400065457805,648518346517577540,[ 28961 109343   2881],[ 28971 109367   2882]
25043,18184830,2022-11-17 14:28:59.843347+00:00,,t,22,73046400065420798,648518346531363354,73046400065437862,648518346489569132,[ 28869 108993   2874],[ 28867 108961   2875]
25047,18184849,2022-11-17 14:28:59.843347+00:00,,t,12,73046400065551462,648518346499840723,73046400065539015,648518346499440615,[ 28917 109453   2921],[ 28893 109469   2922]
25049,18184959,2022-11-17 14:28:59.843347+00:00,,t,26,73046400065453022,648518346531363354,73046400065433063,648518346517577540,[ 29073 109237   2878],[ 29097 109255   2878]
25058,18184902,2022-11-17 14:28:59.843347+00:00,,t,22,73046400065450608,648518346531363354,73046400065453086,648518346478791252,[ 28965 109337   2881],[ 28983 109335   2883]
25059,18184968,2022-11-17 14:28:59.843347+00:00,,t,26,73046331346073027,648518346486545841,73046400065597532,648518346489764403,[ 29143 108543   2940],[ 29113 108559   2940]
25060,18184974,2022-11-17 14:28:59.843347+00:00,,t,49,73046400065470143,648518346531363354,73046400065467416,648518346517577540,[ 29091 109035   2887],[ 29127 109049   2887]
25065,18184866,2022-11-17 14:28:59.843347+00:00,,t,28,73046400065564051,648518346499840723,73046400065539015,648518346499440615,[ 28943 109443   2917],[ 28915 109455   2917]
25069,18184875,2022-11-17 14:28:59.843347+00:00,,t,33,73046400065450608,648518346531363354,73046400065453128,648518346492697531,[ 28937 109341   2882],[ 28933 109345   2884]
25070,18184844,2022-11-17 14:28:59.843347+00:00,,t,45,73046400065430621,648518346531363354,73046400065420785,648518346496171788,[ 28879 108989   2869],[ 28887 108961   2869]
25073,7486037,2022-11-17 14:28:59.843347+00:00,,t,14,72835362485216739,648518346494264434,72835362485224083,648518346489732460,[ 24437 112007   2743],[ 24413 112019   2743]
25075,18184990,2022-11-17 14:28:59.843347+00:00,,t,22,73046331346075116,648518346486545841,73046400065578316,648518346494201991,[ 29151 108539   2933],[ 29153 108567   2932]
25076,18184991,2022-11-17 14:28:59.843347+00:00,,t,18,73046400065591714,648518346486545841,73046400065589132,648518346499897667,[ 29153 108547   2940],[ 29153 108585   2941]
25078,27810055,2022-11-17 14:28:59.843347+00:00,,t,24,72835156528082602,648518346508752447,72835156528082554,648518346524171525,[ 23329 104591   3107],[ 23343 104567   3108]
25084,7491510,2022-11-17 14:28:59.843347+00:00,,t,50,72835225113488851,648518346517348645,72835225113487150,648518346478791252,[ 23847 107473   2927],[ 23839 107513   2928]
25088,27810009,2022-11-17 14:28:59.843347+00:00,,t,27,72835156528080432,648518346508752447,72835156528087564,648518346486141124,[ 23295 104619   3109],[ 23273 104649   3110]
25091,7491518,2022-11-17 14:28:59.843347+00:00,,t,18,72835225113481509,648518346490237960,72835225113483455,648518346480843521,[ 23855 107163   2921],[ 23847 107179   2922]
25092,7491570,2022-11-17 14:28:59.843347+00:00,,t,27,72835225113478034,648518346490237960,72835225113483457,648518346480843521,[ 23885 107171   2919],[ 23899 107203   2920]
25095,7491544,2022-11-17 14:28:59.843347+00:00,,t,31,72835225113513053,648518346496671612,72835225113503095,648518346489732460,[ 23887 106973   2935],[ 23875 106939   2935]
25097,27810074,2022-11-17 14:28:59.843347+00:00,,t,20,72835156528052995,648518346508752447,72835156528046588,648518346486141124,[ 23361 104677   3096],[ 23375 104705   3096]
25102,7491559,2022-11-17 14:28:59.843347+00:00,,t,12,72835225113513053,648518346496671612,72835225113540760,648518346489732460,[ 23921 106909   2943],[ 23891 106901   2944]
25110,27810027,2022-11-17 14:28:59.843347+00:00,,t,35,72835156528082602,648518346508752447,72835156528084957,648518346494033294,[ 23305 104589   3109],[ 23301 104555   3109]
25117,7491562,2022-11-17 14:28:59.843347+00:00,,t,39,72835225113657730,648518346517348645,72835225113548442,648518346489023210,[ 23887 107053   2951],[ 23895 107023   2951]
25118,7486086,2022-11-17 14:28:59.843347+00:00,,t,13,72835362485216739,648518346494264434,72835362485219211,648518346493419292,[ 24463 112011   2744],[ 24457 112055   2744]
25119,7491590,2022-11-17 14:28:59.843347+00:00,,t,20,72835225113478034,648518346490237960,72835225113478070,648518346514037017,[ 23903 107161   2917],[ 23925 107189   2918]
25120,7491575,2022-11-17 14:28:59.843347+00:00,,t,22,72835225113478034,648518346490237960,72835225113474265,648518346489023210,[ 23889 107199   2917],[ 23903 107219   2917]
25123,7491579,2022-11-17 14:28:59.843347+00:00,,t,19,72835225113653431,648518346496671612,72835225113541003,648518346489023210,[ 23931 106905   2944],[ 23909 106903   2946]
25125,7463995,2022-11-17 14:28:59.843347+00:00,,t,13,73539737323362380,648518346518565462,73539737323420024,648518346483323812,[ 43429 132121   3206],[ 43409 132153   3205]
25126,7492046,2022-11-17 14:28:59.843347+00:00,,t,39,72835225113485162,648518346496671612,72835225113472038,648518346509763459,[ 24357 106905   2915],[ 24341 106873   2915]
25127,7486198,2022-11-17 14:28:59.843347+00:00,,t,26,72835362485209480,648518346494264434,72835362485200360,648518346480963584,[ 24521 111753   2740],[ 24551 111743   2741]
25129,7492089,2022-11-17 14:28:59.843347+00:00,,t,40,72835225113481378,648518346514448583,72835225113468018,648518346509763459,[ 24421 106807   2917],[ 24387 106801   2918]
25133,7492045,2022-11-17 14:28:59.843347+00:00,,t,27,72835225113488839,648518346494933426,72835225113479876,648518346477888526,[ 24333 107335   2921],[ 24335 107303   2921]
